countryn,country,CBRchosenMod,CDRchosenMod,pre_CBR,post_CBR,pre_CDR,post_CDR,CBR_start,CBR_end,CDR_start,CDR_end,CDR_end_year_a,pre_CDR_a,CDR_augmented_indic,CBR_start_GDPPC,CDR_start_GDPPC,CBR_end_GDPPC,CDR_end_GDPPC
158,Sudan,3,2,47.2319807611878,33.7317088695009,19.5080238912538,7.74464069454513,1974,2016,1953,2010,1862,38.3714720885508,1,1952,2041,3651,3776
159,Suriname,3,2,38.9533100323625,16.6169251348436,9.97597507467298,7.28356947162427,1963,2016,1948,1985,1948,9.97597507467298,0,,,,
160,Swaziland,3,2,48.7927564655173,26.5635445954907,25.3045736936111,11.8390821706441,1978,2016,1953,1982,1922,39.9322477928803,1,4623,974,7881,4586
161,Sweden,1,1,34.2101255902949,12.0111410393061,33.5579199422714,10.4074224205358,1854,1969,1710,1958,1710,33.5579199422714,0,1785,2028,20366,13655
162,Switzerland,2,2,31.6007508622341,10.3369197882736,24.4248866760868,8.98988830650194,1861,1996,1861,1953,1861,24.4248866760868,0,5857,5857,48205,22959
163,Syrian Arab Republic,3,2,46.6461555747623,21.4382899123349,19.6096713271336,4.31778604413611,1975,2016,1953,1985,1915,37.7856469021254,1,4127,2285,3091,4660
164,Taiwan,3,2,42.3185475956821,18.5398531352577,32.463240519151,4.94528137675091,1955,1983,1906,1966,1904,33.4580389230451,1,1759,964,8845,2834
165,Tajikistan,3,2,47.0133071862348,27.4921754048583,15.255394568722,5.25725813971629,1962,2016,1953,2012,1953,15.255394568722,0,,,3991,3285
166,Tanzania,3,2,49.1650621118012,39.2442173913044,20.6237646702964,8.41272655777375,1966,2016,1960,2016,1870,40.3045534391643,1,1507,1271,2660,2660
167,Thailand,1,2,45.3396727679787,12.3502409463589,16.7701204844852,6.74416148433078,1959,1999,1953,1979,1902,36.4791640953418,1,1384,1305,8661,3482
168,Togo,3,2,47.949882454624,34.5680222249661,27.3510543719071,11.4352044868939,1975,2016,1953,1987,1928,39.0893737819871,1,1914,1123,1400,1433
169,Tonga,3,2,39.5606411003236,24.2495212513484,9.7440616999488,6.10330030721966,1963,2016,1948,1974,1948,9.7440616999488,0,,,,
170,Trinidad and Tobago,1,1,34.3731288918647,14.8955211344397,27.6009505554686,8.02974615037691,1961,2002,1897,1966,1897,27.6009505554686,0,7507,,18495,8524
171,Tunisia,1,2,39.5393435596861,17.5891607550178,17.0464058380415,6.01170550847457,1975,1999,1946,1999,1881,30.6788348870492,1,4088,1821.16216216216,7498,7498
172,Turkey,1,1,46.9485192723397,17.6720798737732,35.8817733364869,6.48435942920215,1958,2006,1927,1990,1927,35.8817733364869,0,3695,1551,16244,10696
173,Turkmenistan,3,2,43.8792341671102,21.8045739615137,16.3019709519994,7.61398026932258,1960,2016,1953,1992,1869,35.0187254944732,1,,,23813,5703
174,Uganda,3,2,49.3328359428182,42.2524208645337,21.6238190560034,11.3057948404211,2001,2016,1953,2016,1953,21.6238190560034,0,1240,1048,1980,1980
175,Ukraine,2,5,20.7319856294822,9.85023330555079,12.2134734147458,12.2134734147458,1953,1999,454,517,454,12.2134734147458,0,,,5799,
176,United Arab Emirates,2,2,49.9180387681676,10.4362705128126,21.0548768231,2.37288864153476,1953,2010,1953,1977,1953,21.0548768231,0,,,65294,
177,United Kingdom,1,1,33.8750603207581,14.4971652723282,27.5441551187466,10.9342536526015,1885,1937,1794,1958,1794,27.5441551187466,0,6012,2869,9718,12450
178,United States,1,2,54.9667623028536,14.4871507008345,32.0949059197848,8.78629739184897,1803,1980,1795,1954,1700,46.1062536302167,1,2015,1960.6,29613,16513
179,Uruguay,2,2,42.5458424697057,18.8428404500866,18.246613979779,9.42145466590952,1882,1941,1882,1939,1882,18.246613979779,0,3328,3328,5135,5230
180,Uzbekistan,3,2,43.3912029866046,19.4873640974933,14.3932711233481,5.24752783310018,1960,2016,1953,1995,1861,34.5306943139676,1,,,10381,3530
181,Vanuatu,4,2,49.8907293218357,25.634625877204,19.5973526555712,5.30553947867589,1953,2016,1953,1998,1953,19.5973526555712,0,,,,
182,"Venezuela, RB",3,1,35.174424750499,18.2716272364362,22.7910595038326,5.31841501493638,1973,2016,1915,1975,1915,22.7910595038326,0,17529,2278,15219,18484
183,Vietnam,1,2,41.8343325499413,17.2633137485311,19.4432284212487,5.99915152204954,1962,2005,1953,1981,1925,32.9738238773043,1,1306,1051,3558,1131
184,"Yemen, Rep.",3,2,53.4577867513612,29.1189855687606,34.7111164116726,7.90254136339698,1986,2016,1953,1996,1938,44.5972780787242,1,3661,1474,2506,3839
185,Zambia,3,2,49.9250083922262,39.6067259947765,21.0507556142028,11.5139548052069,1971,2016,1953,2016,1953,21.0507556142028,0,3130,2232,3479,3479
186,Zimbabwe,3,2,51.650813172354,31.2346474384366,22.5536249545289,12.0251746089487,1956,2016,1953,1968,1925,42.7903044997171,1,1468,1251,1534,1645
