countryn,country,CBRchosenMod,CDRchosenMod,pre_CBR,post_CBR,pre_CDR,post_CDR,CBR_start,CBR_end,CDR_start,CDR_end,CDR_end_year_a,pre_CDR_a,CDR_augmented_indic,CBR_start_GDPPC,CDR_start_GDPPC,CBR_end_GDPPC,CDR_end_GDPPC
91,"Korea, Dem. Rep.",1,2,36.7442427253936,17.9557289712196,24.6310280451083,7.68386006966995,1970,1980,1953,1969,1950,27.8837340527566,1,1428,706,2315,1344
92,"Korea, Rep.",1,2,40.4034587330854,10.3622277467004,24.8042142406445,5.78271926418483,1958,1996,1953,1970,1947,31.5429500604484,1,1702,1478,18219,2989
93,Kuwait,3,2,45.0795521640091,12.5611612384361,10.4653478609379,2.59174097167543,1968,2016,1953,1985,1953,10.4653478609379,0,,,71010,52733
94,Kyrgyz Republic,4,2,38.4062174709764,21.6115883011668,16.0540605509411,6.9102909464026,1953,2016,1953,1992,1953,16.0540605509411,0,,,4879,3606
95,Lao PDR,3,2,43.1212545454545,21.7495981191223,23.4380638836218,6.89559736156782,1988,2016,1953,2012,1915,34.2607458728176,1,1498,841,5859,4670
96,Latvia,2,5,17.5134006222022,10.0485767705998,12.8084745762712,12.8084745762712,1953,2002,454,517,454,12.8084745762712,0,,,12152,
97,Lebanon,2,2,42.3431637624807,14.493262332109,16.0780871086056,6.10863399103444,1953,2008,1953,1972,1953,16.0780871086056,0,12035,12035,13794,16592
98,Lesotho,3,2,42.6008794449263,25.9140009681519,23.269701663804,13.4247504604433,1974,2016,1953,1981,1924,33.7403707722893,1,871,420,2767,962
99,Liberia,3,2,49.0502874015748,35.0880613048369,30.0974610229571,8.02297921179133,1982,2016,1953,2016,1925,40.1897787289379,1,1216,1061,829,829
100,Libya,3,2,49.9174168975069,13.5865530193906,25.2876445930455,5.04072942300344,1967,2016,1953,1983,1930,41.05690822487,1,22726,3294,8096,29948
101,Lithuania,2,5,22.2431462792503,9.83688865476323,10.8372881355932,10.8372881355932,1953,2004,454,517,454,10.8372881355932,0,,,14986,
102,Luxembourg,2,2,16.2941983630236,12.0007462686567,13.2315942028985,7.58289855072464,1948,1978,1948,2016,1948,13.2315942028985,0,,,22427,57006
103,"Macao SAR, China",2,2,41.4355957355158,13.032759638165,14.6005409218646,4.49606225917664,1953,1969,1950,1970,1950,14.6005409218646,0,,,,
104,"Macedonia, FYR",2,2,29.3175483857495,11.2489231508165,10.4530223735409,8.06831906614786,1960,2005,1960,1967,1960,10.4530223735409,0,3956,3956,9240,6050
105,Madagascar,3,2,48.1856081896552,33.9244859748011,26.6709624826985,6.6023411750234,1978,2016,1953,2012,1916,39.3250995170182,1,2033,2044,1381,1351
106,Malawi,3,2,53.2672122662027,37.2434053936494,30.4657660097615,9.24241438061978,1981,2016,1953,2016,1912,44.4067035935658,1,846,506,1112,1112
107,Malaysia,3,2,41.4751491712707,15.0665022942223,22.6286709934815,4.97581522197572,1958,2016,1932,1975,1908,32.6146404986338,1,2624,2594,23053,4919
108,Maldives,1,2,48.200934426734,19.7548909471352,31.206692574704,3.63849357722741,1986,2001,1950,2000,1936,39.340425754097,1,,,,
109,Mali,3,1,49.639425,42.9541285714286,34.4418831455868,10.4803079459575,2003,2016,1963,2014,1963,34.4418831455868,0,1298,721,1594,1505
110,Malta,2,2,29.2097950377562,9.79608414239482,10.3079802041448,7.71620057859209,1948,2001,1948,2000,1948,10.3079802041448,0,,,20495,20524
111,Mauritania,3,2,48.05270951417,34.4100600110416,24.0205829999171,9.25908713566068,1962,2016,1953,1989,1916,39.1922008415331,1,1573,1137,3407,2406
112,Mauritius,1,1,37.153137351295,11.142909960874,33.6865151194282,7.25807820698175,1958,2009,1930,1965,1930,33.6865151194282,0,2849,,15472,3605
113,Mexico,3,1,40.2533394797027,16.0177880776593,34.0150520654715,5.05937752922837,1971,2016,1905,1982,1905,34.0150520654715,0,8230,2593,16133,12193
114,"Micronesia, Fed. Sts.",3,2,42.2120754082613,22.3013233095268,11.2041282181572,6.36646595528455,1971,2016,1960,1986,1960,11.2041282181572,0,,,,
115,Moldova,2,2,28.1367066255843,10.8545606874198,14.9253695876289,10.8782201030928,1953,2007,1953,1963,1953,14.9253695876289,0,,,4041,
116,Mongolia,3,2,46.0942277274893,17.3364417304944,20.5589286665581,6.69123590929192,1965,2016,1953,2002,1895,37.2337190548524,1,2874,2013,12360,5223
117,Morocco,3,2,50.2877475050649,15.5209837844029,21.9518669299348,5.83209549452522,1958,2016,1953,1993,1905,41.427238832428,1,2272,2402,8039,4189
118,Mozambique,3,2,48.3149500215424,40.6954474579923,30.5167041250647,11.2550985086319,1977,2016,1953,2016,1924,39.4544413489055,1,384,365,1113,1113
119,Myanmar,3,2,43.4603110419907,16.6995127749389,23.3946162908697,8.90887258985783,1961,2016,1953,1990,1925,34.5998023693537,1,668,535,5284,925
